trr_rd_no,statute,description,subject_no,trr_report_id
HZ245526,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303291.0,96759
HZ245526,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19303291.0,96759
HZ245599,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19303332.0,96760
HZ245599,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303332.0,96760
HZ245599,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19303332.0,96760
HZ245599,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19303332.0,96761
HZ245599,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303332.0,96761
HZ245599,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19303332.0,96761
HZ246191,625 ILCS 5.0/3-701-1,NO VALID REGISTRATION,19303501.0,96763
HZ246191,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19303501.0,96763
HZ246191,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19303501.0,96763
HZ246191,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19303501.0,96763
HZ246191,720 ILCS 5.0/21-1.01-A-1,CRIM DMG/GOVT PROP/>$500-$10K,19303501.0,96763
HZ246191,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303501.0,96763
HZ246191,625 ILCS 5.0/3-701-1,NO VALID REGISTRATION,19350391.0,96765
HZ246191,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19350391.0,96765
HZ246191,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19350391.0,96765
HZ246191,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19350391.0,96765
HZ246191,720 ILCS 5.0/21-1.01-A-1,CRIM DMG/GOVT PROP/>$500-$10K,19350391.0,96765
HZ246191,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19350391.0,96765
HZ246191,730 ILCS 150.0/1,SEX OFFENDER REGISTRATION,19350391.0,96765
HZ246456,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303574.0,96767
HZ246191,625 ILCS 5.0/3-701-1,NO VALID REGISTRATION,19303501.0,96768
HZ246191,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19303501.0,96768
HZ246191,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19303501.0,96768
HZ246191,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19303501.0,96768
HZ246191,720 ILCS 5.0/21-1.01-A-1,CRIM DMG/GOVT PROP/>$500-$10K,19303501.0,96768
HZ246191,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303501.0,96768
HZ246456,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19303574.0,96769
HZ246456,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303574.0,96769
HZ246191,625 ILCS 5.0/3-701-1,NO VALID REGISTRATION,19303501.0,96770
HZ246191,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19303501.0,96770
HZ246191,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19303501.0,96770
HZ246191,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19303501.0,96770
HZ246191,720 ILCS 5.0/21-1.01-A-1,CRIM DMG/GOVT PROP/>$500-$10K,19303501.0,96770
HZ246191,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303501.0,96770
HZ246456,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19303571.0,96771
HZ246456,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303571.0,96771
HZ246598,625 ILCS 5.0/11-502-B,IVC - TRANSPORT/CARRY ALCOHOL LIQUOR/PASSENGER,19303643.0,96774
HZ246598,625 ILCS 5.0/3-701-1,NO VALID REGISTRATION,19303643.0,96774
HZ246598,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19303643.0,96774
HZ246598,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19303643.0,96774
HZ246598,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19303643.0,96774
HZ246598,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303643.0,96774
HZ246598,9-24-010(B),STOP AT STOP SIGN,19303643.0,96774
HZ246598,9-76-050(C),"LIGHT, TAIL LIGHTS REQUIRED",19303643.0,96774
HZ246574,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19303646.0,96775
HZ246574,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,19303646.0,96775
HZ246574,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303646.0,96775
HZ246598,625 ILCS 5.0/11-502-B,IVC - TRANSPORT/CARRY ALCOHOL LIQUOR/PASSENGER,19303654.0,96776
HZ246598,625 ILCS 5.0/3-701-1,NO VALID REGISTRATION,19303654.0,96776
HZ246598,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19303654.0,96776
HZ246598,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19303654.0,96776
HZ246598,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19303654.0,96776
HZ246598,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303654.0,96776
HZ246598,9-24-010(B),STOP AT STOP SIGN,19303654.0,96776
HZ246598,9-76-050(C),"LIGHT, TAIL LIGHTS REQUIRED",19303654.0,96776
HZ246574,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19303646.0,96777
HZ246574,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,19303646.0,96777
HZ246574,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303646.0,96777
HZ246728,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19303728.0,96778
HZ246728,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19303728.0,96778
HZ246728,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303728.0,96778
HZ246728,9-80-180,OBSTRUCTION OF TRAFFIC BY NON-MOTORIST,19303728.0,96778
HZ246728,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19303728.0,96779
HZ246728,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19303728.0,96779
HZ246728,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303728.0,96779
HZ246728,9-80-180,OBSTRUCTION OF TRAFFIC BY NON-MOTORIST,19303728.0,96779
HZ246768,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19303759.0,96780
HZ246849,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19303777.0,96781
HZ246849,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303777.0,96781
HZ246849,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19303777.0,96782
HZ246849,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303777.0,96782
HZ246849,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19303777.0,96783
HZ246849,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303777.0,96783
HZ246849,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19303777.0,96784
HZ246849,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303777.0,96784
HZ247383,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19303887.0,96787
HZ247383,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303887.0,96787
HZ247383,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19303887.0,96787
HZ247348,720 ILCS 5.0/21-1.01-A-1,CRIM DMG/GOVT PROP/>$500-$10K,1930388.0,96789
HZ247348,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,1930388.0,96789
HZ247348,9-60-120,PEDESTRIANS TO EXERCISE DUE CARE,1930388.0,96789
HZ247525,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,1930393.0,96792
HZ247525,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1930393.0,96792
HZ246645,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19303694.0,96793
HZ246645,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303694.0,96793
HZ247752,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES ,19304044.0,96794
HZ247752,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304044.0,96794
HZ247752,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES ,19304059.0,96795
HZ247752,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304059.0,96795
HZ247752,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES ,19304056.0,96796
HZ247752,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304056.0,96796
HZ247803,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19304084.0,96797
HZ247803,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19304084.0,96797
HZ247803,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19304084.0,96798
HZ247803,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19304084.0,96798
HZ247731,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19304060.0,96799
HZ247731,720 ILCS 5.0/12-5-A-1,RECKLESS CONDUCT/BODILY HARM,19304060.0,96799
HZ247814,415 ILCS 105.0/4,LITTERING,19304066.0,96800
HZ247814,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304066.0,96800
HZ247814,8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,19304066.0,96800
HZ247827,625 ILCS 5.0/11-501-A-2,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,19304098.0,96801
HZ247827,625 ILCS 5.0/11-502-A,IVC - TRANS/CARRY ALC LIQ/DRIVER,19304098.0,96801
HZ247827,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19304098.0,96801
HZ247827,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19304098.0,96801
HZ247827,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304098.0,96801
HZ247827,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19304098.0,96801
HZ248368,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304149.0,96802
HZ248368,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19304149.0,96802
HZ248244,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,,96803
HZ248368,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304149.0,96804
HZ248368,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19304149.0,96804
HZ248368,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304149.0,96805
HZ248368,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19304149.0,96805
HZ248540,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19304352.0,96806
HZ248540,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19304352.0,96806
HZ248540,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304352.0,96806
HZ248368,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304149.0,96807
HZ248368,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19304149.0,96807
HZ248988,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19304521.0,96808
HZ248988,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSS/USE FIREARM/PAROLE,19304521.0,96808
HZ248988,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19304521.0,96808
HZ246645,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19303694.0,96809
HZ246645,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19303694.0,96809
HZ249072,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19304604.0,96810
HZ249072,720 ILCS 5.0/25-5-A-4,STREETGANG CONTACT/PAROLE,19304604.0,96810
HZ249072,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304604.0,96810
HZ249072,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19304604.0,96811
HZ249072,720 ILCS 5.0/25-5-A-4,STREETGANG CONTACT/PAROLE,19304604.0,96811
HZ249072,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304604.0,96811
HZ249943,720 ILCS 570.0/407-B-1,MFG/DEL COCAINE/SCH/PUB HS/PK,19304794.0,96816
HZ249943,720 ILCS 570.0/407-B-1,MFG/DEL COCAINE/SCH/PUB HS/PK,19304794.0,96817
HZ249943,720 ILCS 570.0/407-B-1,MFG/DEL COCAINE/SCH/PUB HS/PK,19304794.0,96820
HZ250132,10-8-526,CTA - SMOKING ON (98-126-1.8),19304979.0,96821
HZ250132,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304979.0,96821
HZ250132,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19304979.0,96821
HZ250203,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19304996.0,96822
HZ250203,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19304996.0,96822
HZ250203,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,19304996.0,96822
HZ250374,720 ILCS 5.0/16-1-A-1,THEFT/CONTROL/PERSON<$500,1930512.0,96823
HZ250374,720 ILCS 5.0/16-1-A-1,THEFT/CONTROL/PERSON<$500,1930512.0,96824
HZ250274,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSSES WEAPON/2ND+,1930512.0,96825
HY250649,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19305252.0,96829
HY250649,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19305252.0,96829
HZ251135,4-4-333-B,SYNTHETIC MARIJUANA,19305377.0,96830
HZ251135,625 ILCS 5.0/11-503-A-1,IVC - RECKLESS DRIVING,19305377.0,96830
HZ251135,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19305377.0,96830
HZ251135,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19305377.0,96830
HZ251135,9-20-010(B),ONE WAY STREET/ALLEY SIGNS POSTED,19305377.0,96830
HZ251135,9-24-010(B),STOP AT STOP SIGN,19305377.0,96830
HZ251154,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19305388.0,96831
HZ251154,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19305388.0,96831
HZ251154,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19305388.0,96832
HZ251154,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19305388.0,96832
HZ251388,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19305478.0,96833
HZ251388,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19305478.0,96834
HZ251502,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19305596.0,96836
HZ251502,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19305596.0,96836
HZ251752,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19305689.0,96837
HZ251752,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19305689.0,96837
HZ252457,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19305969.0,96839
HZ252457,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19305969.0,96839
HZ252457,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19305969.0,96840
HZ252457,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19305969.0,96840
HZ252905,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19306131.0,96841
HZ252905,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19306131.0,96841
HZ252905,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19306131.0,96842
HZ252905,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19306131.0,96842
HZ253150,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19306288.0,96843
HZ253150,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19306288.0,96844
HZ253344,720 ILCS 5.0/12-2-B-4,AGG ASSAULT/PEACE OFFICER/WEAPON,19306429.0,96849
HZ253344,720 ILCS 5.0/18-1-A,ROBBERY,19306429.0,96849
HZ253344,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSS/USE FIREARM/PAROLE,19306429.0,96849
HZ253344,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19306429.0,96849
HZ254475,625 ILCS 5.0/6-101,DRIVING/NO LICENSE/PERMIT/AGE,19376044.0,96852
HZ254475,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19376044.0,96852
HZ254475,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",19376044.0,96852
HZ254475,720 ILCS 5.0/26.5-2-A-1,PHONE HARASSMENT/LEWD COMMENT ,19376044.0,96852
HZ254475,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19376044.0,96852
HZ254475,625 ILCS 5.0/6-101,DRIVING/NO LICENSE/PERMIT/AGE,19306744.0,96853
HZ254475,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19306744.0,96853
HZ254475,720 ILCS 5.0/26.5-2-A-1,PHONE HARASSMENT/LEWD COMMENT ,19306744.0,96853
HZ254475,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19306744.0,96853
HZ254566,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19306758.0,96854
HZ254566,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19306758.0,96854
HZ254566,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19306758.0,96854
HZ255012,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19306899.0,96856
HZ255062,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19306941.0,96857
HZ255062,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19306941.0,96857
HZ255062,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19306941.0,96857
HZ255062,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19306941.0,96858
HZ255062,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19306941.0,96858
HZ255062,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19306941.0,96858
HZ255129,720 ILCS 5.0/10-2-A-2,AGG KIDNAP/<13/INTEL DISABL,19306957.0,96859
HZ255129,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19306957.0,96859
HZ255129,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19306957.0,96859
HZ255129,720 ILCS 5.0/12-3.05-B-1,AGG BTRY/CHILD <13/PERM DISABL,19306957.0,96859
HZ255129,720 ILCS 5.0/10-2-A-2,AGG KIDNAP/<13/INTEL DISABL,19306957.0,96860
HZ255129,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19306957.0,96860
HZ255129,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19306957.0,96860
HZ255129,720 ILCS 5.0/12-3.05-B-1,AGG BTRY/CHILD <13/PERM DISABL,19306957.0,96860
HZ255575,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19307090.0,96861
HZ255575,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19307090.0,96861
HZ255575,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19307090.0,96861
HZ255575,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307090.0,96861
HZ255575,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19307090.0,96862
HZ255575,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19307090.0,96862
HZ255575,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19307090.0,96862
HZ255575,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307090.0,96862
HZ255729,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19307152.0,96864
HZ255729,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19307152.0,96864
HZ255842,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307213.0,96865
HZ255842,8-24-020,SALE OR POSSESSION OF DEADLY WEAPON,19307213.0,96865
HZ255842,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307213.0,96866
HZ255842,8-24-020,SALE OR POSSESSION OF DEADLY WEAPON,19307213.0,96866
HZ255879,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19307239.0,96867
HZ255936,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19307247.0,96868
HZ255936,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307247.0,96868
HZ256515,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307405.0,96869
HZ256515,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307405.0,96870
HZ256515,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307405.0,96871
HZ256559,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307418.0,96872
HZ256559,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19307418.0,96872
HZ256559,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307418.0,96873
HZ256559,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19307418.0,96873
HZ256515,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307405.0,96874
HZ256559,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307418.0,96876
HZ256559,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19307418.0,96876
HZ256624,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307460.0,96877
HZ256624,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,19307460.0,96877
HZ256624,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307460.0,96878
HZ256624,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,19307460.0,96878
HZ256676,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19307457.0,96879
HZ256676,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19307457.0,96879
HZ256676,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307457.0,96879
HZ256713,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19307517.0,96880
HZ256713,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19307517.0,96880
HZ256761,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19307508.0,96881
HZ256761,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307508.0,96881
HZ256761,8-4-010(H),IN PUBLIC UNDER INFLUENCE DRUGS/ALCOHOL	,19307508.0,96881
HZ256841,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19307547.0,96882
HZ256676,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19307457.0,96883
HZ256676,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19307457.0,96883
